State,Abbreviation,Borders
Alabama,AL,"Mississippi, Tennessee, Florida, Georgia"
Alaska,AK,
Arizona,AZ,"Nevada, New Mexico, Utah, California, Colorado"
Arkansas,AR,"Oklahoma, Tennessee, Texas, Louisiana, Mississippi, Missouri"
California,CA,"Oregon, Arizona, Nevada"
Colorado,CO,"New Mexico, Oklahoma, Utah, Wyoming, Arizona, Kansas, Nebraska"
Connecticut,CT,"New York, Rhode Island, Massachusetts"
Delaware,DE,"New Jersey, Pennsylvania, Maryland"
District of Columbia,DC,"Oregon, Idaho"
Florida,FL,"Georgia, Alabama"
Georgia,GA,"North Carolina, South Carolina, Tennessee, Alabama, Florida"
Hawaii,HI,
Idaho,ID,"Utah, Washington, Wyoming, Montana, Nevada, Oregon"
Illinois,IL,"Kentucky, Missouri, Wisconsin, Indiana, Iowa, Michigan"
Indiana,IN,"Michigan, Ohio, Illinois, Kentucky"
Iowa,IA,"Nebraska, South Dakota, Wisconsin, Illinois, Minnesota, Missouri"
Kansas,KS,"Nebraska, Oklahoma, Colorado, Missouri"
Kentucky,KY,"Tennessee, Virginia, West Virginia, Illinois, Indiana, Missouri, Ohio"
Louisiana,LA,"Texas, Arkansas, Mississippi"
Maine,ME,New Hampshire
Montana,MT,"South Dakota, Wyoming, Idaho, North Dakota"
Nebraska,NE,"Missouri, South Dakota, Wyoming, Colorado, Iowa, Kansas"
Nevada,NV,"Idaho, Oregon, Utah, Arizona, California"
New Hampshire,NH,"Vermont, Maine, Massachusetts"
New Jersey,NJ,"Pennsylvania, Delaware, New York"
New Mexico,NM,"Oklahoma, Texas, Utah, Arizona, Colorado"
New York,NY,"Pennsylvania, Rhode Island, Vermont, Connecticut, Massachusetts, New Jersey"
North Carolina,NC,"Tennessee, Virginia, Georgia, South Carolina"
North Dakota,ND,"South Dakota, Minnesota, Montana"
Ohio,OH,"Michigan, Pennsylvania, West Virginia, Indiana, Kentucky"
Oklahoma,OK,"Missouri, New Mexico, Texas, Arkansas, Colorado, Kansas"
Oregon,OR,"Nevada, Washington, California, Idaho"
Maryland,MD,"Virginia, West Virginia, Delaware, Pennsylvania"
Massachusetts,MA,"New York, Rhode Island, Vermont, Connecticut, New Hampshire"
Michigan,MI,"Ohio, Illinois, Indiana, Wisconsin, Minnesota "
Minnesota,MN,"North Dakota, South Dakota, Iowa, Wisconsin, Michigan "
Mississippi,MS,"Louisiana, Tennessee, Alabama, Arkansas"
Missouri,MO,"Nebraska, Oklahoma, Tennessee, Arkansas, Illinois, Iowa, Kansas, Kentucky"
Pennsylvania,PA,"New York, Ohio, West Virginia, Delaware, Maryland, New Jersey"
Rhode Island,RI,"Massachusetts, New York, Connecticut"
South Carolina,SC,"North Carolina, Georgia"
South Dakota,SD,"Nebraska, North Dakota, Wyoming, Iowa, Minnesota, Montana"
Tennessee,TN,"Mississippi, Missouri, North Carolina, Virginia, Alabama, Arkansas, Georgia, Kentucky"
Texas,TX,"New Mexico, Oklahoma, Arkansas, Louisiana"
Utah,UT,"Nevada, New Mexico, Wyoming, Arizona, Colorado, Idaho"
Vermont,VT,"New Hampshire, New York, Massachusetts"
Virginia,VA,"North Carolina, Tennessee, West Virginia, Kentucky, Maryland"
Washington,WA,"Oregon, Idaho"
West Virginia,WV,"Pennsylvania, Virginia, Kentucky, Maryland, Ohio"
Wisconsin,WI,"Michigan, Minnesota, Illinois, Iowa"
Wyoming,WY,"Nebraska, South Dakota, Utah, Colorado, Idaho, Montana"
